SampleName,SampleNr,Accession,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,Leaf_Disk_GSL_Sample,C_N_Determination,Leftover_GSL_samples,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note_FP,GSL_Leaf_weight_mg,Total_GSL,Total_Aliphatic,Total_Indol,Progoitrin,Glucoraphanin,Sinigrin,Gluconapin,Glucoerucin,Glucobrassicin,Methoxy_glucobrassicin,Gluconasturtiin ,Neoglucobrassicin,X3MSOP,X5MSOP,X4.Pent,X4OHI3M,Note_GSL,N_content,C_content,C_N_ratio,Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,LnRR_Survival_PerBatch,LnRR,LnRR_Surv_Dom_PerBatch,LnRR_Surv_Dom,Root_Weight,Note_RootBiomass,Domestication
F282,282,KT,Co,15,2,1,1,2,1,2,3,31,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"small plant, only received one caterpillar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082,,1,1,0,1,,,,,0.114,,Cultivated
F302,302,KT,Mb,16,2,1,1,2,1,4,2,38,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.954,,2,2,0,1,1.222222222,1.157894737,0.909370289,0.81729561,0.1754,,Cultivated
F402,402,MC,Co,21,2,1,1,2,1,1,4,28,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1 cat died during handeling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.492,,2,2,0,1,,,,,0.172,,Cultivated
F422,422,MC,Mb,22,2,1,1,2,1,6,1,45,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.742,,2,2,0,1,1.428571429,1.235294118,0.909370289,0.81729561,0.214,,Cultivated
F322,322,OH,Co,17,2,1,1,2,1,5,1,41,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,,2,1,1,0.5,,,,,,,Wild
F342,342,OH,Mb,18,2,1,1,2,1,6,2,46,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.851,,2,1,1,0.5,0.916666667,0.88,0.57360203,0.544463983,,,Wild
F362,362,RI,Co,19,2,1,1,2,1,3,4,36,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.591,,2,2,0,1,,,,,0.3382,,Cultivated
F382,382,RI,Mb,20,2,1,1,2,1,1,1,25,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.079,,2,2,0,1,1.826086957,1.511111111,0.909370289,0.81729561,0.534,,Cultivated
F442,442,VL,Co,23,2,1,1,2,1,4,4,40,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5875,,2,2,0,1,,,,,0.8157,,Wild
F462,462,VL,Mb,24,2,1,1,2,1,4,3,39,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,little bit of trips damage observed during caterpillar infestation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.06,,2,1,1,0.5,0.55,0.523809524,0.57360203,,0.8912,,Wild
F003,3,CD,Co,1,3,1,1,3,1,6,3,71,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,1.3708,,Cultivated
F023,23,CD,Mb,2,3,1,1,3,1,3,3,59,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,One caterpillar added because one caterpillar did not survive infestion the day before.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.767,,2,1,1,0.5,0.846153846,0.647058824,0.554677506,0.489918939,0.9616,,Cultivated
F043,43,DD,Co,3,3,1,1,3,1,4,4,64,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.609,,2,1,1,0.5,,,,,0.8617,,Wild
